director,number_of_title,vote_average
Chris Nash|Rodney Ascher|Bill Plympton|Erik Matti|Lancelot Oduwa Imasuen|Kristina Buozyte|Bruno Samper|Vincenzo Natali|Larry Fessenden|Julien Maury|Alexandre Bustillo|E.L. Katz|Sylvia Soska|Jen Soska|Aharon Keshales|Navot Papushado|Julian Gilbey|Dennison Ramalho|Jerome Sable|Robert Morgan|Hajime Ohata|SÃ´ichi Umezawa|Alejandro BruguÃ©s|Todd Rohal|Julian Barratt|Jim Hosking|Robert Boocheck|Marvin Kren|Juan MartÃ­nez Moreno|Steven Kostanski,1,5.4
Chris Nelson,2,5.25
Chris Noonan,2,6.050000000000001
Chris Paine,1,6.6
Chris R. Notarile,1,7.0
Chris Renaud|Kyle Balda,1,6.3
Chris Renaud|Mike Thurmeier,1,7.4
Chris Riedell|Nick Riedell,1,6.8
Chris Rock,4,6.1000000000000005
Chris Shadley,1,5.2
Chris Sivertson,1,3.8
Chris Smith,2,7.6
Chris Sparling,1,5.3
Chris Stokes,1,5.1
Chris Sun,2,5.699999999999999
Chris Thomson,1,3.2
Chris Walas,1,4.9
Chris Wedge,1,6.4
Chris Wedge|Carlos Saldanha,2,6.4
Chris Weitz,3,5.966666666666666
Chris Weitz|Paul Weitz,2,5.550000000000001
Chris Williams|Byron Howard,1,6.3
Christian Alvart,3,6.099999999999999
Christian Bisceglia|Ascanio Malgarini,1,4.5
Christian Cantamessa,1,4.7
Christian Charles,1,5.0
Christian Ditter,1,7.6
Christian Duguay,8,6.2625
Christian E. Christiansen,2,5.15
Christian Faure,2,6.8
Christian Forte,1,4.2
Christian Larson,1,7.6
Christian Merret-Palmair ,1,4.6
Christian Molina,1,5.6
Christian Robinson,1,5.3
Christian Vincent,1,5.9
Christine Jeffs,2,5.9
Christophe Barratier,2,5.5
Christophe Gans,2,6.3
Christophe Gans|Shusuke Kaneko|Brian Yuzna,1,4.8
Christophe HonorÃ©,1,6.6
Christopher B. Landon,3,5.666666666666667
Christopher Cain,6,5.733333333333333
Christopher Denham,2,4.9
Christopher Duddy,1,3.6
Christopher Erskin,1,5.3
Christopher Guest,5,6.38
Christopher Hatton,1,4.0
Christopher K. Walker|Michael Beach Nichols,1,6.7
Christopher Kenneally,1,7.0
Christopher Kezelos,1,8.1
Christopher Leitch,1,3.5
Christopher Leone,1,6.1
Christopher MacBride,1,5.6
Christopher McQuarrie,3,6.433333333333334
Christopher Menaul,2,5.949999999999999
Christopher Monger,1,6.1
Christopher Morahan,1,5.7
Christopher Neil,1,5.7
Christopher Nielsen,1,4.9
Christopher Nolan,10,7.469999999999999
Christopher Ray,4,3.45
Christopher Reeve|Colin Brady|Dan St. Pierre,1,5.6
Christopher Roberts,1,4.1
Christopher Roosevelt,1,4.6
Christopher Smith,5,6.2
Christopher Spencer,1,5.8
Christopher Storer|Bo Burnham,1,7.7
Christopher Zalla,1,5.4
Chu Yen-ping,1,5.1
Chuck Jones,1,6.0
Chuck Jones|Ben Washam,1,7.1
Chuck Patton,1,6.0
Chuck Russell,6,5.666666666666667
Chuck Sheetz,1,6.5
Ciaran Foy,2,5.15
Claire Denis,1,5.9
Clare Kilner,3,5.6000000000000005
Clare Lewins,1,6.6
Clark Gregg,2,5.85
Clark Johnson,2,5.699999999999999
Claude Berri,1,6.3
Claude Chabrol,1,5.8
Claude Lanzmann,1,8.3
Claude Miller,2,5.550000000000001
Claude Sautet,1,7.1
Claudia Llosa,1,5.1
Claudia Myers,1,6.2
Claudio Cupellini,1,5.5
Claudio Fragasso,1,4.3
Claudio FÃ¤h,3,5.166666666666666
Clay Weiner,1,3.9
Clif Prowse|Derek Lee,1,6.1
Clint Eastwood,34,6.508823529411764
Clio Barnard,1,7.1
Clive A. Smith,1,6.1
Clive Barker,3,6.2
Clive Donner,4,5.925
Clyde Geronimi|Hamilton Luske|Wolfgang Reitherman,1,6.6
ClÃ©ment Virgo,1,5.0
Cody Calahan,1,4.3
Cody Cameron,1,5.3
Cody Cameron|Kris Pearn,1,6.4
Coky Giedroyc,2,6.6
Coley Sohn,1,5.3
Colin Chilvers|Jerry Kramer|Jim Blashfield,1,6.1
Colin Eggleston,1,6.1
Colin Hanks,1,7.0
Colin Higgins,3,6.266666666666666
Colin Levy,1,7.6
Colin Minihan,1,4.6
Colin Strause|Greg Strause,2,4.800000000000001
Colin Teague,1,4.5
Colin Theys,1,4.9
Colin Trevorrow,2,6.6
Coline Serreau,1,7.9
Coline Serreau|Dominique FurgÃ©,1,5.3
Connor McGuire|Colin McGuire,1,7.5
Conor McMahon,2,5.65
Conrad Helten,2,5.5
Constance Marks,1,7.2
Corey Yuen Kwai,6,6.050000000000001
Corey Yuen Kwai|Patrick Leung,1,5.2
Corin Hardy,1,4.9
Cory Edwards|Todd Edwards|Tony Leech,1,6.0
Costa Botes|Peter Jackson,1,5.4
Costa-Gavras,5,6.7
Courteney Cox,1,6.0
Courtney Hunt,1,6.9
Courtney Solomon,3,4.833333333333333
Craig Brewer,3,6.333333333333333
Craig Gillespie,4,6.1
Craig Johnson,1,6.7
Craig Lucas,1,6.0
Craig Macneill,1,6.1
Craig Mazin,1,4.9
Craig McCracken,1,5.6
Craig Moss,6,4.466666666666668
Craig Pryce,5,5.5600000000000005
Craig R. Baxley,8,5.4624999999999995
Craig R. Baxley|Michael W. Watkins,1,7.2
Craig Rosenberg,1,5.9
Craig Shapiro,4,5.475
Craig Singer,1,3.6
Craig Viveiros,2,6.550000000000001
Craig Zisk,1,5.6
Craig Zobel,2,5.9
Crispian Mills|Chris Hopewell,1,5.6
Crystal Moselle,1,6.9
Cullen Blaine|Dale Case,1,5.8
Cullen Hoback,1,6.7
Curt Geda,2,6.5
Curt Geda|Dan Riba|Yukio Suzuki|Butch Lukic,1,6.4
Curt Geda|Steven E. Gordon|Bob Richardson,1,6.4
Curt Geda|Tim Maltby,1,6.4
Curt Morgan,1,8.5
Curtis Hanson,10,6.15
Curtis Hanson|Michael Apted,1,7.0
Cy Endfield,2,6.449999999999999
Cyrus Nowrasteh,1,8.0
CÃ©dric Kahn,2,5.95
CÃ©dric Klapisch,2,6.5
D. Kerry Prior ,1,5.5
D.A. Pennebaker,1,6.9
D.A. Pennebaker|David Dawkins|Chris Hegedus,1,8.4
D.J. Caruso,6,6.25
D.J. MacHale,1,5.8
DJ Pooh,1,5.6
Dagen Merrill,1,5.0
Daisy von Scherler Mayer,4,5.0249999999999995
Dale Fabrigar|Everette Wallin,1,3.0
Dale Launer,1,5.4
Dallas Jenkins,1,6.5
Dallas Richard Hallam|Patrick Horvath,1,4.5
Dalton Trumbo,1,7.0
Damian Harris,2,5.95
Damian Lee,3,5.166666666666667
Damian Nieman,1,6.3
Damiano Damiani,1,5.7
Damien Chazelle,1,8.2
Damien Dante Wayans,1,4.8
Damien Leone,1,4.7
Damien O'Donnell,2,6.6
Damon Beesley|Iain Morris,1,5.9
Damon Gameau,1,6.4
Damon Santostefano,4,5.6
Dan Aykroyd,1,5.3
Dan Beers,1,5.1
Dan Bradley,1,5.3
Dan Bush,1,5.1
Dan Curtis,2,6.25
Dan Cutforth|Jane Lipsitz,1,6.5
Dan Eckman,1,7.0
Dan Fogelman,1,6.6
Dan Fraga|William Lau,1,7.0
Dan Gilroy,1,7.6
Dan Ireland,1,6.3
Dan Mazer,1,5.4
Dan O'Bannon,2,7.15
Dan Povenmire|Robert Hughes,1,6.7
Dan Reed,1,4.8
Dan Rosen,2,5.05
Dan Rush,1,5.8
Dan Scanlon,1,7.0
Dan St. Pierre,1,6.1
Dan Storey,1,7.9
Dan Trachtenberg,1,6.9
Dan Zeff,1,6.1
Dana Lustig,2,4.75
Daniel Alfredson,1,5.8
Daniel Algrant,1,5.8
Daniel Attias,1,5.6
Daniel Auteuil,1,6.5
Daniel Barber,2,5.699999999999999
Daniel Barnz,4,6.05
Daniel Benmayor,2,4.800000000000001
Daniel Cohen,1,4.3
Daniel Duran,1,6.2
Daniel Espinosa,2,6.050000000000001
Daniel Farrands,2,6.9
Daniel Farrands|Andrew Kasch,1,7.1
Daniel G. Karslake ,1,6.1
Daniel Grou,1,6.3
Daniel Haller,1,6.4
Daniel Krige,1,5.3
Daniel Lee,2,6.15
Daniel Lindsay|T.J. Martin,1,7.8
Daniel Lusko,1,3.1
Daniel Mann,1,5.6
Daniel Myrick,2,5.65
Daniel Myrick|Eduardo SÃ¡nchez,1,6.3
Daniel Percival,1,6.7
Daniel Petrie,3,6.166666666666667
"Daniel Petrie, Jr.",2,5.949999999999999
Daniel Sackheim,1,5.3
Daniel Schechter,1,5.6
Daniel Simpson,1,4.7
Daniel Stamm,2,5.800000000000001
Daniel Stern,1,5.8
Daniel SÃ¡nchez ArÃ©valo,1,6.1
Daniel Taplitz,1,6.1
Daniel Waters,1,5.5
Danielle Harris,1,3.7
Danis TanoviÄ‡,1,6.5
Danish Aslam,1,6.0
DaniÃ¨le Thompson,1,6.2
Danny Boyle,11,6.890909090909091
Danny Boyle|Loveleen Tandan,1,7.5
Danny Cannon,3,5.533333333333334
Danny DeVito,6,6.083333333333333
Danny Leiner,3,5.633333333333333
Danny Lerner,1,3.5
Danny Mooney ,1,6.1
Danny Mulheron,1,4.6
Danny Pang|Oxide Pang Chun,1,5.6
Danny Steinmann,2,5.7
Danny Tull,1,7.0
Dante Ariola,1,5.5
Daric Gates,1,3.3
Darin Scott,1,4.7
Dario Argento,8,4.925
Dario Argento|George A. Romero,1,6.3
Dario Piana,1,4.7
Darlo Piana,1,5.3
Darnell Martin,2,7.1
Darragh Byrne,1,5.6
Darrell James Roodt,3,4.433333333333334
Darrell Rooney,1,6.6
Darrell Rooney|Jeannine Roussel,1,5.8
Darrell Rooney|Lynne Southerland,1,5.9
Darren Aronofsky,6,6.816666666666666
Darren Grant,2,5.85
Darren Lynn Bousman,8,5.762499999999999
Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet,1,5.3
Darren Paul Fisher,1,6.4
Darren Stein,2,5.85
Daryl Duke,1,6.6
Daryl Wein,1,4.9
Daryn Tufts,1,6.0
Dave Allen,1,5.7
Dave Borthwick|Jean Duval|Frank Passingham,2,4.5
Dave Bullock,1,6.3
Dave Filoni,1,6.0
Dave Green,1,5.7
Dave Grohl,1,7.5
Dave McKean,1,6.5
Dave Meyers,1,5.4
Dave Parker,1,4.6
Dave Payne,3,4.5
David A. Armstrong,1,5.5
David A.R. White,1,4.9
David Anspaugh,2,6.95
David Arquette,1,4.7
David Atkins,1,5.9
David Attwood,1,7.1
David Auburn,1,6.2
David Ayer,5,6.42
David Barrett,1,5.7
David Bowers,3,6.1000000000000005
David Bowers|Sam Fell,1,6.0
David Boyd,1,6.5
David Breashears|Stephen Judson|Greg MacGillivray,1,6.0
David Brooks,1,5.5
David Bruckner|Dan Bush|Jacob Gentry,1,5.9
David Burris,1,5.8
David Campbell,1,4.8
David Carson,4,5.6
David Carson|Herbert Wise,1,7.3
David Chase,1,5.4
David Cronenberg,18,6.300000000000001
David Cross,1,4.9
David DeBartolomÃ©,1,5.0
David DeCoteau,2,4.25
David Denneen,1,6.1
David Dhawan,3,6.266666666666667
David Dobkin,6,6.1499999999999995
David E. Talbert,2,5.5
David Evans,1,6.0
David F. Sandberg,1,7.1
David Farr,1,5.9
David Feiss,1,5.6
David Fincher,10,7.209999999999999
David Flores,1,3.6
David Frankel,5,6.18
David Gelb,3,6.8999999999999995
David Gordon Green,11,5.79090909090909
David Green,1,3.8
David Greene,2,5.65
David Greenwalt,1,6.5
David Gregory,1,7.1
David Grossman,1,4.3
David Grovic,1,5.0
David Guy Levy,1,5.7
David Hackl,2,5.45
David Hare,3,6.366666666666667
David Hayter,1,5.3
David Hewlett,2,4.45
David Higby,1,7.2
David Hillenbrand|Scott Hillenbrand,2,4.15
David Hogan,2,5.1
David Hollander,1,5.1
David Hugh Jones,3,6.1000000000000005
David J. Burke,1,5.6
David Jackson,1,5.2
David Jacobson,3,4.766666666666667
David Jung,1,5.6
David Kaplan,1,6.3
David Keating,1,6.3
David Kellogg,2,4.1
David Koepp,5,6.02
David L. Cunningham,2,5.5
David LaChapelle,1,5.6
David Lean,4,7.025
David Leland,1,4.5
David Lickley,1,7.2
David Lister,1,5.6
David Lowell Rich,1,4.7
David Lowery,1,5.8
David Lynch,15,6.586666666666667
David M. Evans,7,5.014285714285714
David M. Rosenthal,2,5.55
David Mackay,1,7.1
David Mackenzie,6,6.3500000000000005
David Mallet,1,8.7
David Mamet,7,6.385714285714286
David McKay,1,6.9
David McNally,2,5.25
David MichÃ´d,2,6.35
David Miller,1,5.7
David Mirkin,2,5.75
David Molina|Terry Shakespeare,1,5.9
David Moore,1,6.4
David Moreau|Xavier Palud,1,5.6
David Moreton,1,4.8
David Morley,1,4.8
David Nelson,1,3.8
David Nerlich|Andrew Traucki,1,6.0
David Nixon|Patrick Doughtie,1,6.7
David Nutter,1,5.6
David O. Russell,8,6.3125
David O. Russell|Stephen Greene,1,3.6
David Ondaatje,1,5.1
David Palmer|Dax Shepard,1,5.4
David Petrarca,2,6.199999999999999
David Price,1,4.7
David R. Ellis,7,5.328571428571428
David Raynr,1,5.0
David Redmon|Ashley Sabin,1,6.5
David Ren,1,4.1
David Robert Mitchell,2,6.449999999999999
David Ross,1,5.3
David Ryan Keith,1,3.8
David S. Goyer,3,5.5
David S. Ward,5,5.779999999999999
David Salzberg|Christian Tureaud,1,6.5
David Sandberg,1,7.7
David Schmoeller,2,6.25
David Schwimmer,2,6.35
David Seltzer,3,5.633333333333333
David Silverman,2,6.9
David Sington,2,7.199999999999999
David Slade,3,6.266666666666666
David Soren,3,6.199999999999999
David Steiman,1,4.4
David Steinberg,1,4.2
David Storey,1,5.4
David Swift,2,6.800000000000001
David Thorpe,1,5.8
David Twohy,6,6.133333333333333
David Veloz,1,6.0
David Von Ancken,1,5.8
David Wain,5,5.6
David Weaver,1,4.7
David Webb Peoples,1,6.1
David Weissman|Bill Weber,1,7.2
David Winkler,1,4.5
David Wu,1,5.6
David Yarovesky,1,5.5
David Yates,5,7.140000000000001
David Zellner,1,6.2
David Zucker,6,5.699999999999999
David de Vries,1,6.9
David van Eyssen,1,4.9
Davis Guggenheim,6,6.2
Dean Cundey,1,5.1
Dean DeBlois,2,7.300000000000001
Dean DeBlois|Chris Sanders,2,7.15
Dean Francis,1,3.2
Dean Israelite,1,6.3
Dean O'Flaherty,1,4.4
Dean Parisot,4,5.874999999999999
Dean Semler,1,4.1
Dean Wellins,1,8.3
Dean Wright,1,6.8
Dearbhla Walsh,1,6.8
Deb Hagan,1,4.8
Debbie Isitt,1,6.3
Deborah Chow,1,6.4
Deborah Kampmeier,1,6.2
Debra Granik,1,6.7
Declan Lowney,1,6.7
Declan O'Brien,5,4.779999999999999
Dee Rees,2,6.35
Deepa Mehta,2,5.65
Delbert Mann,2,5.85
Demian Lichtenstein,1,5.4
Denis Dercourt|Rafaele Ravinet-Virbel,1,6.5
Denis Hennelly,1,5.4
Denis Villeneuve,3,7.166666666666667
Dennie Gordon,3,5.533333333333334
Dennis Dugan,13,5.676923076923076
Dennis Hopper,4,6.0
Dennis Iliadis,2,5.6
Dennis Lee,2,6.2
Denny Tedesco,1,6.8
Denys Granier-Deferre,1,5.4
Denzel Washington,2,6.6
Deon Taylor,2,4.8
Deran Sarafian,2,5.1
Derek Cianfrance,2,6.800000000000001
Derek Frankowski,1,8.8
Derek Jarman,1,4.7
Derick Martini,3,5.1000000000000005
Dermot Mulroney,1,5.3
Derrick Borte,1,6.0
Des Doyle,1,6.3
Des McAnuff,1,4.0
Desiree Akhavan,1,5.8
Desmond Davis,1,6.7
Desmond Nakano,1,5.0
Destin Cretton,1,7.8
Devin McGinn,1,4.3
Dewey Nicks,1,5.7
Dexter Fletcher,2,6.449999999999999
Diablo Cody,1,4.7
Diane Bell,1,4.8
Diane English,1,4.6
Diane Keaton,1,5.2
Dianne Jackson|Jimmy T. Murakami,1,7.1
Diarmuid Lawrence,1,6.6
Dibakar Banerjee,1,6.8
Dick Carruthers,1,7.7
Dick Lowry,2,5.5
Dick Maas,2,4.2
Dick Proenneke|Bob Swerer Sr.|Bob Swerer Jr.,1,7.5
Dick Richards,1,6.1
Didier Bourdon,1,5.7
Didier Bourdon|Bernard Campan,1,6.1
Diederik Van Rooijen,1,5.3
Diego Luna,1,5.3
Dietrich BrÃ¼ggemann,1,7.1
Dinesh D'Souza|John Sullivan,2,5.15
Ding Sheng,1,6.4
Dito Montiel,5,5.5600000000000005
Dolph Lundgren,1,4.0
Dominic Anciano|Ray Burdis,1,6.4
Dominic Burns,2,3.15
Dominic Harari|Teresa Pelegri,1,5.6
Dominic Polcino,2,7.25
Dominic Sena,5,5.74
Dominik Moll,1,6.3
Dominique Deruddere,1,6.3
Dominique Monfery,1,5.6
Dominique Othenin-Girard,1,5.2
Don Argott|Sheena M. Joyce,1,6.0
Don Bluth,3,6.933333333333333
Don Bluth|Gary Goldman,6,5.6499999999999995
Don Bluth|Gary Goldman|Dan Kuenster,1,6.3
Don Boyd,1,5.3
Don Chaffey,3,6.266666666666666
Don Coscarelli,7,5.828571428571428
Don E. FauntLeRoy,5,4.44
Don Edmonds,1,4.9
Don Hahn,1,6.9
Don Hall|Chris Williams,1,7.8
Don Handfield,1,5.2
Don Hertzfeldt,3,7.7
Don Mancini,2,5.15
Don McKellar,2,6.7
Don Michael Paul,6,4.983333333333333
Don Michael Paul|Bibo Bergeron,1,6.8
Don Roos,4,5.449999999999999
Don Scardino,1,5.2
Don Sharp,1,6.7
Don Siegel,10,6.359999999999999
Don Taylor,3,5.666666666666667
Don Taylor|Mike Hodges,1,6.1
Donald Cammell,1,5.2
Donald G. Jackson|R.J. Kizer,1,4.5
Donald P. Bellisario,1,4.9
Donald P. Borchers,1,4.2
Donald Petrie,10,5.75
Donna Deitch,1,5.9
Donovan Cook,1,6.3
Dony Permedi,1,6.7
Dorian Walker,1,5.4
Doug Atchison,1,6.6
Doug Campbell,2,5.75
Doug Ellin,1,6.2
Doug Lefler,3,5.266666666666667
Doug Liman,7,6.771428571428571
Doug Pray,1,6.9
Doug Sweetland,1,8.0
Doug Walker,1,6.3
Douglas Aarniokoski,3,4.533333333333334
Douglas Cheek,1,4.5
Douglas Gordon|Philippe Parreno,1,5.5
Douglas Hickox,1,6.8
Douglas Langway,1,5.5
Douglas Mackinnon,1,8.0
Douglas McCarthy,1,6.0
Douglas McGrath,4,5.875
Douglas Trumbull,2,6.15
Doze Niu Cheng-Tse,1,6.6
Dragan BjelogrliÄ‡,1,7.3
Drake Doremus,3,6.066666666666666
Drew Ann Rosenberg,1,4.7
Drew Barrymore,1,6.6
Drew Goddard,1,6.5
Drew Heriot,1,5.4
Drew Pearce,1,7.1
Dror Moreh,1,6.2
Dror Soref,1,5.4
Dru Brown,1,6.5
Duane Adler,1,5.9
Duane Clark,1,5.4
Duane Journey,1,4.9
Duke Johnson|Charlie Kaufman,1,6.7
Duncan Jones,2,7.2
Duncan Tucker,1,6.5
Duncan Ward,1,6.0
Dustin Hoffman,1,6.2
Dustin Marcellino,1,5.0
Duwayne Dunham,4,6.125
Dwayne Carey-Hill,2,7.1
Dwight H. Little,9,5.555555555555555
Dylan Avery,2,5.55
Dylan Baker,1,6.0
Dylan C. Brown,1,4.9
Dylan Kidd,1,7.1
E. Elias Merhige,3,5.166666666666667
E. Max Frye,1,4.8
E.L. Katz,1,6.0
Ed Burke|BeyoncÃ© Knowles,1,7.8
Ed Bye,1,4.7
Ed Decter,1,5.8
Ed Gass-Donnelly,1,4.5
Ed Harris,2,6.25
Ed Hunt,1,6.0
Ed Stone,1,6.6
Eddie Martin,1,7.4
Eddie Murphy,1,5.9
Edgar Wright,4,7.1000000000000005
Eduard CortÃ©s,1,4.6
Eduardo RodrÃ­guez,3,4.766666666666667
Eduardo SÃ¡nchez,4,4.475
Edward Burns,1,5.7
Edward James Olmos,2,6.550000000000001
Edward Neumeier,1,4.3
Edward Norton,1,5.7
Edward Zwick,10,6.530000000000001
Egidio Coccimiglio,1,4.9
Ekachai Uekrongtham,1,5.6
Elaine Constantine,2,5.75
Elaine May,1,5.9
Elbert van Strien,1,5.8
Eldar Rapaport,1,6.4
Eldar Ryazanov,2,6.25
Eleanor Coppola|Fax Bahr|George Hickenlooper,1,7.8
Elgin James,1,5.6
Eli Craig,1,7.2
Eli Morgan Gesner,1,3.7
Eli Roth,5,5.239999999999999
Elia Kazan,1,5.2
Elijah Drenner,1,6.0
Elise Robertson,1,3.6
Elissa Down,1,6.8
Elizabeth Allen Rosenbaum,3,5.833333333333333
Elizabeth Banks,1,6.8
Ellen Hovde|Muffie Meyer|Albert Maysles|David Maysles,1,7.2
Ellie Kanner,1,3.7
Elliot Goldner,1,5.0
Elliot Hegarty,1,5.2
Elliot Silverstein,3,6.366666666666667
Elliott Lester,1,6.0
Ellory Elkayem,4,5.050000000000001
Emad Burnat|Guy Davidi,1,7.6
Emile Ardolino,4,6.275
Emilio AragÃ³n,1,5.7
Emilio Estevez,3,6.266666666666667
Emilis Velyvis,1,5.7
Emily Ting,1,5.4
Emily Young,1,5.9
Emir Kusturica,2,6.449999999999999
Emmanuel CarrÃ¨re,1,5.4
Emmanuel Klotz|Albert Pereira-Lazaro,1,6.6
Emmanuel Mouret,1,6.0
Emmanuel Naccache,1,4.6
Enda McCallion,1,4.1
Enki Bilal,1,6.1
Enrico Casarosa,1,7.9
Enrico Oldoini,1,5.0
Enzo Barboni,1,5.6
Eran Creevy,1,5.5
Eric Amadio,1,5.3
Eric Blakeney,1,5.1
Eric Bress|J. Mackye Gruber,1,7.1
Eric Brevig,2,5.4
Eric Bross,3,5.066666666666666
Eric Darnell|Tim Johnson,1,6.0
Eric Darnell|Tom McGrath,2,6.25
Eric Darnell|Tom McGrath|Conrad Vernon,1,6.4
Eric England,1,4.9
Eric England|Nick Everhart|Emily Hagins|Jesse Holland|Miko Hughes|Andy Mitton,1,4.7
Eric Favela|Regis Schuller,1,7.4
Eric Fogel|Kallan Kagan,1,5.8
Eric Forsberg,1,2.8
Eric Hayden,1,4.8
Eric Heisserer,1,6.4
Eric Idle|Gary Weis,1,6.0
Eric Karson,2,3.7
Eric Kissack,1,7.0
Eric Laneuville,1,5.2
Eric Lartigau,1,6.6
Eric Lavaine,2,4.6
Eric Radomski|Leo Riley,1,5.7
Eric Red,2,5.9
Eric Schaeffer,1,7.4
Eric Steel,1,6.9
Eric Styles,1,4.6
Eric Till,1,6.3
Eric Toledano|Olivier Nakache,1,6.5
Eric Valette,2,4.15
Eric Walter,1,6.2
Eric Wareheim|Tim Heidecker,1,4.4
Eric-Emmanuel Schmitt,1,6.6
Erick Zonca,1,7.1
Ericson Core,2,6.0
Erik Canuel,1,6.5
Erik Matti,1,5.9
Erik SkjoldbjÃ¦rg,2,5.65
Erik Van Looy,2,6.35
Erik Wernquist,1,7.8
Erik White,1,5.8
Ernest R. Dickerson,7,5.728571428571429
Ernie Barbarash,6,5.366666666666667
Ernie Barbarash|Tia Buhl,1,4.9
Eron Sheean,1,6.0
Errol Morris,7,6.642857142857143
Erwin Wagenhofer,1,7.5
Eshom Nelms|Ian Nelms,1,6.4
Esteban Sapir,1,7.3
Etan Cohen,1,5.9
Ethan Coen|Joel Coen,4,6.375
Ethan Spaulding,3,6.733333333333334
Ethan Spaulding|Jay Oliva,1,7.4
Ethan Wiley,2,4.05
Eugene Jarecki,2,7.3
Eugene Marner,1,7.0
Eugenio MartÃ­n,1,6.6
Eugenio Mira,1,5.6
Euros Lyn,1,7.9
Evan Glodell,1,6.7
Evan Goldberg|Seth Rogen,1,6.1
Evan Oppenheimer,1,3.0
Evelyn Purcell,1,5.3
Evgeny Afineevsky,1,8.2
Eytan Fox,1,6.4
Ezekiel Norton,1,5.8
Ezio Greggio,1,4.6
Ezna Sands,1,6.7
F. Gary Gray,8,6.65
Fabien Onteniente,2,4.6
Fabrice Du Welz,2,4.85
Fabrice Joubert|Mark O'Hare,1,7.0
Fabrizio Conte,1,6.3
Farhad Mann,1,3.3
Farhan Akhtar,1,7.3
Farren Blackburn,1,4.3
Fatih Akin,1,6.9
Fede Alvarez,1,6.3
Federico Moccia,1,3.8
Felix Thompson,1,6.8
Felix Van Groeningen,1,7.4
Feng Xiaogang,1,7.3
Fenton Bailey|Randy Barbato,2,6.199999999999999
Fernanda Cardoso,1,6.1
Fernando Barreda Luna,1,4.8
Fernando Di Leo,1,6.6
Fernando LeÃ³n de Aranoa,2,6.4
Fernando Meirelles,3,6.233333333333333
Fernando Trueba,2,6.0
Fez Ortega,1,6.6
Fielder Cook,1,6.0
Fina Torres,1,5.3
Finn Taylor,1,5.0
Fisher Stevens,1,5.8
Florent-Emilio Siri,1,6.0
Floria Sigismondi,1,6.3
Florian Baxmeyer,1,5.7
Florian Baxmeyer|Jan Sebastian Ballhaus,1,6.3
Florian Cossen,1,7.4
Florian Gallenberger,1,7.2
Florian Henckel von Donnersmarck,1,6.0
Forest Whitaker,3,5.666666666666667
Fouad Mikati,2,5.2
Fran Rubel Kuzui,1,5.2
Franc Roddam,3,6.166666666666667
Francesca Gregorini,1,6.2
Francesca Gregorini|Tatiana von Furstenberg,1,5.7
Francesco Cinquemani,1,4.7
Francine McDougall,3,5.2
Francis Ford Coppola,17,6.617647058823529
Francis Glebas,1,6.0
Francis Lawrence,6,6.75
Francis Palluau,1,5.5
Francis Veber,3,6.466666666666666
Francis Whately,1,7.1
Franck Khalfoun,2,5.8
Franck Mancuso,1,7.1
Franck Vestiel,1,4.7
Franco Amurri,1,6.1
Franco Zeffirelli,7,6.257142857142858
Frank A. Cappello,1,6.4
Frank Capra,1,6.1
Frank Coraci,8,5.8374999999999995
Frank Darabont,5,6.88
Frank De Felitta,1,4.6
Frank E. Flowers,1,4.5
Frank Hall Green,1,6.5
Frank Henenlotter,4,5.475
Frank Longo,1,5.3
Frank Marshall,3,6.033333333333332
Frank Miller,1,4.6
Frank Miller|Robert Rodriguez,1,6.2
Frank Nissen,2,6.2
Frank Oz,11,6.163636363636363
Frank Paur,1,6.9
Frank Paur|Patrick Archibald|Jay Oliva|Dick Sebast,1,6.6
Frank Pavich,1,8.1
Frank Perry,1,6.0
Frank Perry|Sydney Pollack,1,5.5
Frank Pierson,3,5.966666666666666
Frank Sebastiano,1,4.9
Frank Tashlin,1,7.2
Frank Whaley,1,7.4
Franklin J. Schaffner,5,6.8
Franny Armstrong,1,6.0
FranÃ§ois Alaux|HervÃ© de CrÃ©cy,1,7.4
FranÃ§ois Alaux|HervÃ© de CrÃ©cy|Ludovic Houplain,1,7.2
FranÃ§ois Desagnat|Thomas Sorriaux,1,4.9
FranÃ§ois Girard,3,6.099999999999999
FranÃ§ois Ozon,4,5.75
FranÃ§ois Simard|Anouk Whissell|Yoann-Karl Whissell,1,6.6
FranÃ§ois Truffaut,1,6.8
Fraser Clarke Heston,3,5.5
Fred CavayÃ©,1,6.6
Fred Dekker,3,6.0
Fred Olen Ray,1,5.0
Fred Savage,1,4.8
Fred Schepisi,7,6.114285714285714
Fred Schepisi|Robert Young,1,5.5
Fred Vogel|Jerami Cruise,1,4.3
Fred Walton,2,6.05
Fred Wolf,3,4.8
Fred Zinnemann,3,6.0
Freddie Francis,3,6.3999999999999995
Freddie Francis|Steve Sekely,1,6.0
Frederik Du Chau,3,5.633333333333333
Fredrik Bond,1,6.5
Fritz Kiersch,1,5.6
FrÃ©dÃ©ric Berthe,1,4.7
FrÃ©dÃ©ric Schoendoerffer,1,5.2
FrÃ©dÃ©ric Tcheng,1,7.5
Fumihiko Sori,2,6.25
Fuminori Kizaki,2,6.95
Fyodor Bondarchuk,1,5.5
